,_id,deleted,endTime,exercise,initialStartTime,metric,removed,rpe,setID,setNumber,startTime,tags,userID,weight,workoutID
7151,0f9b6637-8cd8-4924-b58e-db673742c86f,0.0,,bench,2018-05-19T16:32:05.383Z,kgs,0.0,< 5.5,0f9b6637-8cd8-4924-b58e-db673742c86f,41.0,,"['elisa', '5 rpe']",5aa35456880e87b3f32ddf7c,30,870ca10a-1f71-4cbf-a3f8-6ef0f0cc56c1
7466,105e2cb9-a75d-4e0e-9928-b86b8f7ae084,0.0,,bench,2018-05-23T01:02:56.418Z,kgs,0.0,< 5.5,105e2cb9-a75d-4e0e-9928-b86b8f7ae084,22.0,,"['mimi', '5 rpe']",5aa35456880e87b3f32ddf7c,35,0e6dd975-b54d-4e4d-ab2f-d240105f4697
7798,110a5475-fbc3-4fc9-9687-315c3ce8d20c,0.0,,bench,2018-05-22T23:53:55.199Z,kgs,0.0,< 5.5,110a5475-fbc3-4fc9-9687-315c3ce8d20c,7.0,,"['matt', '5 rpe']",5aa35456880e87b3f32ddf7c,75,0e6dd975-b54d-4e4d-ab2f-d240105f4697
7885,1140e21b-cc2c-47d8-831b-55c600ba0784,0.0,,squat,2018-05-16T16:12:13.385Z,kgs,0.0,< 5.5,1140e21b-cc2c-47d8-831b-55c600ba0784,4.0,,"['mimi', '5 rpe']",5aa35456880e87b3f32ddf7c,60,21b51e5a-6a80-48d8-827b-b2309f4cd405
8029,11949775-a719-42cd-b6c4-9f518962a14f,0.0,,bench,2018-05-17T23:46:43.674Z,lbs,0.0,6,11949775-a719-42cd-b6c4-9f518962a14f,25.0,,['matt'],5aa35456880e87b3f32ddf7c,260,069415c7-5299-4dd3-a548-e201d5fa7c81
8330,123c772f-c1f2-475b-afeb-5ae34eeb3de6,0.0,,bench,2018-05-16T00:13:27.130Z,kgs,0.0,8.5,123c772f-c1f2-475b-afeb-5ae34eeb3de6,38.0,,['matt'],5aa35456880e87b3f32ddf7c,105,c1d046a3-bf4e-4ba8-a43a-2568a3b21620
9825,155cc10a-821c-4002-a331-2dc69325fca0,0.0,,squat,2018-05-16T01:26:33.598Z,kgs,0.0,6,155cc10a-821c-4002-a331-2dc69325fca0,1.0,,['bug'],58ace5bd6ca711fcd8cb7b39,175,bbad5df7-259c-4f9b-9cdc-c824d1418889
9917,15921f5d-f603-431f-a873-22b7551076aa,0.0,,bench,2018-05-25T00:44:43.022Z,kgs,0.0,6,15921f5d-f603-431f-a873-22b7551076aa,20.0,,['mimi '],5aa35456880e87b3f32ddf7c,37.5,7e166282-3e2e-4b31-b419-8f70734fc65e
9986,15b24336-e60d-437e-8777-23544a054d8a,0.0,,squat,2018-05-11T00:17:10.246Z,kgs,0.0,< 5.5,15b24336-e60d-437e-8777-23544a054d8a,2.0,,"['harr', '3 rpe']",5aa35456880e87b3f32ddf7c,75,0731b594-a678-4294-9b68-9285f8a1f0a5
10866,17a3a15e-456f-43ec-89bc-4f2bc8c050dd,0.0,,squat,2018-05-15T23:08:05.075Z,kgs,0.0,9.5,17a3a15e-456f-43ec-89bc-4f2bc8c050dd,20.0,,['elisa'],5aa35456880e87b3f32ddf7c,78,c1d046a3-bf4e-4ba8-a43a-2568a3b21620
11284,189a3545-333d-4902-9e45-cbaf31ac9cd2,0.0,,squat,2018-05-21T22:59:32.563Z,kgs,0.0,7.5,189a3545-333d-4902-9e45-cbaf31ac9cd2,4.0,,['chase'],5aa35456880e87b3f32ddf7c,132.5,1ba53e08-ded3-468b-8916-ba110f3ccb76
